word,spell
صنوج,/sonuj/
اومانیسم,/'umānism/
معصومانه,/ma'sumāne/
صنوبری,/se(a)no[w]bari/
حاسر,/hāser/
کم کاری,/kamkāri/
کم کار,/kamkār/
تسویل,/tasvil/
فوح,/fo[w]h/
مرزنگوش,/marzanguš/
متجاوز,/mote(a)jāvez/
نورز,/nevroz/
نورس,/no[w]ra(e)s/
همدست,/hamdast/
متخصص,/mote(a)xasses/
گلوله,/golule/
همدرس,/hamdars/
جراید,/jarāyed/
افت,/'oft/
آزادزاده,/'āzādzāde/
افاویه,/'afāvih/
اثمان,/'asmān/
شخشیده,/šaxšide/
آزاددرخت,/'āzādderaxt/
اثمار,/'asmār/
همزه,/hamze/
کلب,/kalb/
دشتبان,/daštbān/
پرآسیب,/por[']āsib/
پرآژنگ,/por[']āžang/
موقع,/movaqqa'/
کلائو,/kalā'u/
تعمد,/ta'ammod/
موقر,/movaqqar/
تعلیمی,/ta'limi/
تیغال,/tiqāl/
شوی دیده,/šuydide/
شوینده,/šuyande/
توازن,/tavāzon/
توازی,/tavāzi/
پیشیاره,/pišyāre/
کود,/kud/
پیشیار,/pišyār/
حیطان,/hitān/
کودتا,/kudetā/
پابرجا,/pābarjā/
پابازی,/pābāzi/
گرده بان,/go(a)rdebān/
خردادگان,/xordādgān/
پاک بازی,/pākbāzi/
پاک باز,/pākbāz/
گرده,/garde/
محسن,/mohsen/
طراز,/tarāz/
طرار,/tarrār/
محسنات,/mohassanāt/
عبده,/'abade/
حلیم٢,/halim/
سبززاغ,/sabzzāq/
سبزرنگ,/sabzrang/
سفیداب,/sefidāb/
سفیدار,/sefidār/
مثنا,/masnā/
شلمک,/šalmak/
تقدمه,/taqdeme/
مقود,/meqvad/
دود,/dud/
دوخواهر,/doxāhar/
شلم شوربا,/šalamšurbā/
مستقبل,/mostaqbal/
فقار,/faqār/
نعاب,/no'āb/
مکحله,/mekhale/
مکحل,/mekhal/
رکت,/rekkat/
بشک,/bašk/
رکتوم,/rektom/
شکایت,/šekāyat/
ساخلو,/sāxlo[w]/
شکایت گستر,/šekāyatgostar/
نخوت,/na(e)xvat/
مقطع,/maqta'/
لئیم ظفر,/la'imozofr/
مقطر,/moqattar/
لئیم الطبع,/la'imottab'/
پالغ,/pāloq/
کنور,/kanur/
پالکانه,/pāl[e]kāne/
چمانه,/čamāne/
رزم خواه,/razmxāh/
رزم جو,/razmju/
آستی,/'āsti/
شغف,/šaqaf/
خماندن,/xamāndan/
آستیگماتیسم,/'āstigmātism/
خمان,/xamān/
شغربغر,/šaqarbaqar/
فدیات,/fedayāt/
سولفات دوکنین,/sulfātdokonin/
هلو,/holu/
رنگین کمان,/ranginkamān/
قاشق,/qāšoq/
مورفین,/morfin/
مورمور,/murmur/
جاگزین,/jāgozin/
افاضه,/'efāze/
جاکسو,/jāksu/
اختبا,/'extebā/
افاضل,/'afāzel/
لجستیک,/lojestik/
لجج,/lojaj/
شاش,/šāš/
هندوانه,/hendevāne/
شاسی,/šās[s]i/
سرخ پوست,/sorxpust/
هندواروپایی,/hendo'orupāyi/
باجی,/bāji/
