word,spell
برتن,/bartan/
گرگ بند,/gorgband/
قراسنقر,/qarāsonqor/
بوریاباف,/buriyābāf/
اردک ماهی,/'ordakmāhi/
اردم,/'ardam/
طمانینه,/toma'nine/
کلیه,/koliye/
فسیل,/fasil/
منشویک,/menševik/
پیروزه سلب,/piruzesalab/
پیروزه چادر,/piruzečādor/
منشویسم,/menševism/
اجنبی پرست,/'ajnabiparast/
اجنبی,/'ajnabi/
فیس,/fis/
راست بین,/rāstbin/
بازبین,/bāzbin/
بنوره,/bonvare/
فیزیولوژیک,/fiziyoložik/
بازبان,/bāzbān/
آبگون,/'ābgun/
آبگیر,/'ābgir/
نرم شامه,/narmšāme/
افتراس,/'efterās/
نرم شانه,/narmšāne/
افسا,/'afsā/
سفاری,/sefāri/
تلال,/telāl/
شلک,/šalk/
افژولیده,/'afžulide/
ساماریم,/sāmār[i]yom/
دیواستنبه,/div[']estambe/
شلفیه,/šalfiy[y]e/
بینه,/bayyene/
دیواسپست,/div[']espest/
توبا,/tubā/
اسرب,/'osrob/
تواهی,/tavāhi/
ابادت,/'ebādat/
نویسنده,/nevisande/
اسرائیلیات,/'esrā'iliy[y]āt/
شماخ,/šamāx/
کلنل,/colonel/
فجاج,/fejāj/
کلنی,/koloni/
مبغوض,/mabquz/
آدمی کش,/'ādamikoš/
حمدان,/hamdān/
آدمی سیرتی,/'ādāmisirati/
خرور,/xarvar/
سند,/sanad/
ایجاد,/'ijād/
خروچ,/xoruč/
ایجاز,/'ijāz/
قوی جثه,/qavijosse/
قوی حال,/qavihāl/
تناسخیه,/tanāsoxiy[y]e/
رب دوشامبر,/robdošāmbr/
ربض,/rabaz/
رغبت,/re(a)qbat/
چک,/čak/
رغد,/raqad/
روان شاد,/ravānšād/
روبسته,/rubaste/
بیمارگون,/bimārgun/
بی طعم,/bita'm/
چنگل,/čango(a)l/
پارابلوم,/pārāblom/
چنگک,/čangak/
بیطره,/beytare/
پاراتیروئید,/pārātiro'id/
احکام,/'ahkām/
سکر,/sakr/
گلوگاه,/ga(e)lugāh/
قندس,/qondos/
لایغفر,/lāyoqfar/
ارمک,/'ormak/
مجالس,/majāles/
دیرینه روز,/dirineruz/
ارمغان,/'armaqān/
رفاده,/refāde/
نرگ,/narg/
رفات,/rofāt/
گنج آگن,/ganj[']āge(a)n/
دیرینگی,/dirinegi/
صحیح المزاج,/sahiholme(a)zāj/
مسئلت,/mas'alat/
گنج,/ganj/
قاروره,/qārure/
اضلال,/'ezlāl/
نامرادی,/nāmorādi/
مسیل,/masil/
صحیفه,/sahife/
قالت,/qālat/
قالپاق,/qālpāq/
عاشقی,/'āšeqi/
عاشورا,/'āšurā/
فروغمند,/foruqmand/
فروغمندی,/foruqmandi/
قواس,/qavvās/
شدکار,/šo(a)dkār/
چراغ بره,/čerāqbare/
مرتبان,/martabān/
چراغ برق,/čerāqbarq/
بمب,/bomb/
آگین,/'āgin/
گزلیک,/gazlik/
عبیرآگین,/'abir[']āgin/
گزک زده,/gazakzade/
آگیشیده,/'āgišide/
تریو,/taryu/
روغ,/ruq/
تریوه,/tarive/
برآشفتن,/bar[']āšoftan/
روعت,/ro[w]'at/
نفور,/nafur/
نفوذ,/nofuz/
ما,/mā/
ماالحیاة,/mā'olhayāt/
پیش بند,/pišband/
پی زده,/peyzade/
پیزر,/pizor/
سجایا,/sajāyā/
سجاوندی,/sajāvandi/
نیک خو,/nikxu/
هرآینه,/har[']āy[e]ne/
هر آنچش,/har[']ānčeš/
انگل,/'angal/
لمس,/lams/
انگشتی,/'angošti/
سبزباغ,/sabzbāq/
لاابالی,/lā'obāli/
سبزایوان,/sabze[']yvān/
تجاهر,/tajāhor/
تجاویف,/tajāvif/
فلرز,/falarz/
نداف,/naddāf/
ندامت,/nedāmat/
جذب,/jazb/
منازعه,/monāze'e/
منازع,/monāze'/
شهبا,/šahbā/
قطره چکان,/qatrečekān/
دژن,/dožan/
شیرکچی,/širakči/
ذراریح,/zarārih/
فراخ ابرو,/farāx[']abru/
نفس تنگی,/nafastangi/
نفض,/nafz/
سرپوش,/sarpuš/
استرضا,/'esterzā/
استرشاد,/'esteršād/
فتوگراف,/fotog[e]rāf/
دوشه,/duše/
فتوگرافی,/fotog[e]rāfi/
مجلس افروز,/majles[']afruz/
آساییدن,/'āsāy(')idan/
دوشنه,/dušane/
اجتلاب,/'ejtelāb/
پوستین دوز,/pustinduz/
صافی درون,/sāfidarun/
صافی دل,/sāfidel/
پرماسیده,/parmāside/
بسیم,/basim/
بسیله,/basile/
رطیب,/ratib/
نبوت,/nabvat/
رکین,/rakin/
ظفرشعار,/zafaršo(e)'ār/
رطوبت سنج,/rotubatsanj/
ظفرانگیز,/zafar[']angiz/
رنگرز,/rangraz/
رنگدانه,/rangdāne/
آقا,/'āqā/
ستاره شناسی,/setārešenāsi/
آق,/'āq/
ستازن,/setāzan/
جز,/jaz/
عقال,/'eqāl/
جزایر,/jazāy(')er/
مختنق,/moxtaneq/
مختلفه,/moxtalefe/
نصیبه,/nasibe/
چپو,/čapo[w]/
فیحا,/fayhā/
قاصر,/qāser/
یغمیصا,/yaqmisā/
یغمایی٢,/yaqmāyi/
قاصد,/qāsed/
لغز,/loqaz/
بژم,/bažm/
فیح,/fayh/
بژمژه,/božmaže/
لغزان,/laqzān/
طیار,/tayyār/
ذنوب,/zonub/
طیارات,/tayyārāt/
گنجه,/ganje/
الذ,/'alaz[z]/
الدنگ,/'aldang/
موفق,/movaffaq/
اردنانس,/'ordonāns/
فروکشنده,/forukešande/
فروکشتن,/forukoštan/
یوت,/yut/
گوشواره,/‌qušvāre/
موفور,/mo[w]fur/
یوبه,/yube/
شایدبود,/šāyadbud/
معارزت,/mo'ārezat/
گوشور,/gušvar/
معارج,/ma'ārej/
دیداری,/didāri/
دیدار,/didār/
آب,/'āb/
خسرو,/xosro[w]/
فلس,/fals/
قلپاق,/qalpāq/
لوح,/lo[w]h/
خسران,/xosrān/
لوحش اللـه,/lo[w]hašallā(a)h/
کرست,/korset/
کرسب,/karasb/
شمیده,/šamide/
شمیدن,/šamidan/
لاج,/lāj/
درمل,/dormol/
لاتین,/lātin/
درمنده,/daramande/
قبرگاه,/qabrgāh/
متعهد,/mote(a)'ahhed/
عبید,/'abid/
بهره بردار,/bahrebardār/
کرن,/koro(a)n/
درانداختن,/dar[']andāxtan/
مستدل,/mostadal[l]/
مستدیر,/mostadir/
زیت,/zeyt/
زیتون,/zeytun/
القا,/'elqā/
متمشی,/motamašši/
گل,/gal/
گفتنی,/goftani/
آشیبیدن,/'āšibidan/
مشنع,/mošanna'/
مشنج,/mešnaj/
آشیب,/'āšib/
کارسنج,/kārsanj/
کرز,/korz/
قاطرچی,/qāterči/
کرزمان,"/kar[o,a]z[a]mān/"
دوچرخه,/dočarxe/
دوچندان,/dočandān/
دارالقرار,/dārolqarār/
دارالقضا,/dārolqazā/
صفرازده,
کما,/kamā/
تشعب,/taša''ob/
اهمیت,/'ahammiy[y]at/
صفراشکن,/safrāšekan/
اهن و تلپ,/'ehen[n]otolop/
فدفد,/fadfad/
فدوند,/fadvand/
شکاکین,/šakkākin/
پنیر,/panir/
پنهانی,/penhāni/
غابن,/qāben/
عمامه,/'emāme/
چخ,/čax/
چچول,/čočul/
داداش,/dādāš/
انگول,/'angul/
دادائیسم,/dādā'ism/
انگوژه,/'anguže/
فوهل,/fuhel/
فهارس,/fahāres/
عقربک,/'aqrabak/
متعصب,/mote(a)'asseb/
بلندنظر,/bolandnazar/
علی الخصوص,/'alalxosus/
لگدسپر,/lagadsepo(a)r/
سرکشی,/sarke(a)ši/
صیفی کاری,/seyfikāri/
هرس,/hars/
صیفی کار,/seyfikār/
ناخواه,/nāxāh/
کالیو ه رنگ,/kāliverang/
انجلا,/'enjelā/
انجل,/'anjel/
رازی,/rāzi/
فایز,/fāyez/
کاویانی,/kāv[i]yāni/
فرث,/fars/
کالیوه,/kālive/
میوسن,/miyosen/
رازیام,/rāziyām/
کره,/kare/
الغ,/'oloq/
خون گرم,/xungarm/
خون فشان,/xunfešān/
استراتوسفر,/'est[e]rātosfer/
آلیش ویریش,/'ālišviriš/
دخن,/doxn/
دخمه,/daxme/
آلیزیدن,/'ālizidan/
مصادره,/mosādere/
ایاغ,/'ayāq/
ایاس,/'ayās/
مصادف,/mosādef/
سیاه چال,/siyāhčāl/
سیاه چادر,/siyāhčādor/
چرونده,/čarvande/
خودفروشی,/xodforuši/
زفت,/zaft/
خودفروش,/xodforuš/
متبدل,/motabaddel/
متبدد,/motabadded/
تفاخر,/tafāxor/
احادیث,/'ahādis/
تفادی,/tafādi/
رنب,/romb/
رسخ,/rasx/
رمیم,/ramim/
رستی خوار,/rostixār/
طوبی,/tubā/
گیرایی,/girāy(')i/
بتون,/beton/
لب تخت,/labtaxt/
فرکال,/farkāl/
بتون آرمه,/beton[']ārme/
گیراندن,/girāndan/
نانبا,/nānbā/
درگذرنده,/dargozarande/
زمج,/zamaj/
نان آور,/nān[']āvar/
زمترا,/zamatrā/
صعب العلاج,/sa'bol'e(a)lāj/
مخل,/moxel[l]/
مخلا,/moxallā/
جلوت,/jalvat/
جلوخان,/je(o)lo[w]xān/
دادگه,/dādgah/
نخستین,/no(a)xostin/
نخجیربان,/naxjirbān/
نخجیربانی,/naxjirbāni/
ورس,/vars/
ورساز,/varsāz/
نخست وزیر,/na(o)xostvazir/
نوابغ,/navābeq/
نواب,/navvāb/
صنج,/se(a)nj/
سریع,/sari'/
بنت العنب,/bentol'enab/
زودآشنا,/zud[']āš[e]nā/
سرافراز,/sar[']afrāz/
اضطراب,/'ezterāb/
اضراس,/'azrās/
صنایع,/sanāye'/
حدثان,"/hadasān, hedsān/"
جنب,/jamb/
بابیل,/bābil/
حدثان الدهر,/hadasānoddahr/
مطابقت,/motābeqat/
سناد,/senād/
درپیوستن,/darpeyvastan/
صقال,/seqāl/
صفیر,/safir/
فال بین,/fālbin/
تبعه,/taba'e/
تبعیت,/taba'iy[y]at/
اشناختن,/'ešnāxtan/
ممل,/momel[l]/
گراینده,/ge(a)rāyande/
نکبت,/ne(a)kbat/
نکت,/nokat/
قمقمه,/qomqome/
زیبندگی,/zibandegi/
غامض,/qāmez/
غابر,/qāber/
خرفستر,/xaraf[a]star/
ناوبر,/nāvbar/
غابات,/qābāt/
تسع,/tes'/
تکسک,/takask/
ترب,/tarb/
فقر,/faqr/
مقاصد,/maqāsed/
آکاردئون,/'ākārde'on/
تک سوار,/taksavār/
شش پستان,/šešpestān/
آکادمیسین,/'ākādemisiyan/
شش پنج,/šešpanj/
خرگوشک,/xargušak/
اندو,/'andu/
تسعون,/tes'un/
اندمه,/'andame/
ثنا,/sanā/
خرگوش,/xarguš/
پول ساز,/pulsāz/
ثمین,/samin/
پول دار,/puldār/
فاتحةالکتاب,/fātehatolketāb/
زنازاده,/zenāzāde/
منزل,/manzel/
زناربند,/zonnārband/
همیشه,/hamiše/
سوق الجیشی,/so[w]qoljeyši/
سوقه,/suqe/
وکالت نامه,/vekālatnāme/
وکر,/vakr/
